"PSPath","PSDrive","PSProvider","PSIsContainer","Name","Key","Value"
"Microsoft.PowerShell.Core\Environment::EFC_7440_2775293581","Env","Microsoft.PowerShell.Core\Environment","False","EFC_7440_2775293581","EFC_7440_2775293581","1"
"Microsoft.PowerShell.Core\Environment::EFC_7440_3789132940","Env","Microsoft.PowerShell.Core\Environment","False","EFC_7440_3789132940","EFC_7440_3789132940","1"
"Microsoft.PowerShell.Core\Environment::FIG_TERM","Env","Microsoft.PowerShell.Core\Environment","False","FIG_TERM","FIG_TERM","1"
"Microsoft.PowerShell.Core\Environment::GOPATH","Env","Microsoft.PowerShell.Core\Environment","False","GOPATH","GOPATH","C:\Users\ketov\go"
"Microsoft.PowerShell.Core\Environment::HOMEDRIVE","Env","Microsoft.PowerShell.Core\Environment","False","HOMEDRIVE","HOMEDRIVE","C:"
"Microsoft.PowerShell.Core\Environment::HOMEPATH","Env","Microsoft.PowerShell.Core\Environment","False","HOMEPATH","HOMEPATH","\Users\ketov"
"Microsoft.PowerShell.Core\Environment::INTELLIJ_TERMINAL_COMMAND_BLOCKS_REWORKED","Env","Microsoft.PowerShell.Core\Environment","False","INTELLIJ_TERMINAL_COMMAND_BLOCKS_REWORKED","INTELLIJ_TERMINAL_COMMAND_BLOCKS_REWORKED","1"
"Microsoft.PowerShell.Core\Environment::JETBRAINS_INTELLIJ_COMMAND_END_MARKER","Env","Microsoft.PowerShell.Core\Environment","False","JETBRAINS_INTELLIJ_COMMAND_END_MARKER","JETBRAINS_INTELLIJ_COMMAND_END_MARKER","3nMoYZohaWBo8Rz7JXi0FajSkqVrwxYCXfNe0itmFU5L6zhibrlxpup7GZIoByg0"
"Microsoft.PowerShell.Core\Environment::LOCALAPPDATA","Env","Microsoft.PowerShell.Core\Environment","False","LOCALAPPDATA","LOCALAPPDATA","C:\Users\ketov\AppData\Local"
"Microsoft.PowerShell.Core\Environment::LOGONSERVER","Env","Microsoft.PowerShell.Core\Environment","False","LOGONSERVER","LOGONSERVER","\\9700GTX"
"Microsoft.PowerShell.Core\Environment::NUMBER_OF_PROCESSORS","Env","Microsoft.PowerShell.Core\Environment","False","NUMBER_OF_PROCESSORS","NUMBER_OF_PROCESSORS","8"
"Microsoft.PowerShell.Core\Environment::OS","Env","Microsoft.PowerShell.Core\Environment","False","OS","OS","Windows_NT"
